STATION,NAME,DATE,AWND,FMTM,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT03,WT04,WT06,WT08,WT11,WT13,WT14,WT16,WT18,WT19,WT22
USW00094728,"NY CITY CENTRAL PARK, NY US",8/13/2011,2.91,2138,1810,0,0,0,,85,69,,240,200,10.1,17,,,,,,,,,,1,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",8/14/2011,4.92,2100,2059,5.81,0,0,,72,67,,130,130,15,23.9,1,1,,,,,,1,,1,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",8/15/2011,4.25,2359,2352,0.56,0,0,,77,68,,60,60,10.1,13,1,1,,,,,,1,,1,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",8/16/2011,4.7,503,116,0.02,0,0,,78,65,,60,70,13,17,1,,,,,,,1,,1,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",8/17/2011,1.79,2349,2324,0,0,0,,86,66,,220,240,8.9,16.1,,,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",8/18/2011,4.92,2128,2127,0.07,0,0,,83,67,,210,210,14.1,21.9,1,,,,,,,1,,1,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",8/19/2011,3.36,1822,1821,1.24,0,0,,84,65,,260,280,17.9,29.1,1,1,,,,1,,1,,1,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",8/20/2011,2.24,2253,2256,0,0,0,,85,64,,230,230,8.9,14.1,1,,,,,1,,1,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",8/21/2011,4.92,1549,1600,0.67,0,0,,84,70,,150,160,13,21.9,1,,,,,1,,1,,1,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",8/22/2011,6.93,1105,1104,0,0,0,,77,65,,280,270,14.1,23.9,1,,,,,,,1,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",8/23/2011,3.8,1707,1324,0,0,0,,79,61,,260,280,10.1,16.1,,,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",8/24/2011,7.38,1646,1545,0,0,0,,80,67,,180,180,14.1,23,,,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",8/25/2011,6.49,2016,2016,0.49,0,0,,78,72,,220,220,15,23,1,1,,,,,,1,,1,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",8/26/2011,2.01,1010,1007,0,0,0,,83,71,,50,50,8.9,13,1,,,,,1,,1,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",8/27/2011,7.61,2357,2100,2.88,0,0,,78,71,,60,70,21.9,36.9,1,1,,,,1,,,,1,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",8/28/2011,14.09,259,258,3.99,0,0,,75,65,,70,70,32,59.9,1,,,,,,,1,,1,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",8/29/2011,4.03,916,844,0,0,0,,77,59,,300,300,12.1,16.1,,,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",8/30/2011,3.36,1138,1136,0,0,0,,82,61,,60,70,13,17,,,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",8/31/2011,2.24,1149,1148,0,0,0,,85,63,,50,50,8.9,12.1,,,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",9/1/2011,3.58,1619,1558,0,0,0,,83,66,,140,150,10.1,16.1,,,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",9/2/2011,3.58,828,2301,0,0,0,,78,65,,50,220,10.1,13,,,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",9/3/2011,4.47,1514,2351,0,0,0,,83,66,,220,220,10.1,15,,,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",9/4/2011,5.14,1048,1047,0,0,0,,86,72,,230,220,13,17.9,,,,,,1,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",9/5/2011,5.14,226,45,0,0,0,,81,72,,230,240,13,21,,,,,,,,,,1,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",9/6/2011,8.5,815,2122,3.22,0,0,,75,60,,50,70,17.9,25.1,1,,,,,,,1,,1,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",9/7/2011,10.74,2137,2229,1.21,0,0,,68,62,,60,60,17.9,25.9,1,,,,,,,1,,1,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",9/8/2011,6.71,2050,1111,0.9,0,0,,79,63,,60,50,17,23,1,,,,,,,1,,1,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",9/9/2011,4.47,1139,1537,0,0,0,,84,67,,60,230,10.1,14.1,,,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",9/10/2011,3.8,1116,1116,0,0,0,,80,68,,50,50,12.1,16.1,,,,,,,,,,1,,,
